year,month,anomaly_c
1907,Jun,-0.42
1907,Jul,-0.35
1907,Aug,-0.34
1907,Sep,-0.34
1907,Oct,-0.23
1907,Nov,-0.47
1907,Dec,-0.48
1908,Jan,-0.45
1908,Feb,-0.32
1908,Mar,-0.56
1908,Apr,-0.45
1908,May,-0.38
1908,Jun,-0.38
1908,Jul,-0.35
1908,Aug,-0.46
1908,Sep,-0.35
1908,Oct,-0.44
1908,Nov,-0.52
1908,Dec,-0.49
1909,Jan,-0.73
1909,Feb,-0.46
1909,Mar,-0.55
1909,Apr,-0.59
1909,May,-0.55
1909,Jun,-0.52
1909,Jul,-0.45
1909,Aug,-0.34
1909,Sep,-0.39
1909,Oct,-0.4
1909,Nov,-0.32
1909,Dec,-0.56
1910,Jan,-0.43
1910,Feb,-0.42
1910,Mar,-0.51
1910,Apr,-0.43
1910,May,-0.35
1910,Jun,-0.39
1910,Jul,-0.35
1910,Aug,-0.37
1910,Sep,-0.39
1910,Oct,-0.41
1910,Nov,-0.57
1910,Dec,-0.68
1911,Jan,-0.63
1911,Feb,-0.59
1911,Mar,-0.61
1911,Apr,-0.54
1911,May,-0.52
1911,Jun,-0.51
1911,Jul,-0.43
1911,Aug,-0.44
1911,Sep,-0.41
1911,Oct,-0.27
1911,Nov,-0.22
1911,Dec,-0.23
1912,Jan,-0.28
1912,Feb,-0.16
1912,Mar,-0.39
1912,Apr,-0.19
1912,May,-0.22
1912,Jun,-0.25
1912,Jul,-0.43
1912,Aug,-0.55
1912,Sep,-0.58
1912,Oct,-0.58
1912,Nov,-0.4
1912,Dec,-0.44
1913,Jan,-0.41
1913,Feb,-0.46
1913,Mar,-0.43
1913,Apr,-0.4
1913,May,-0.45
1913,Jun,-0.46
1913,Jul,-0.37
1913,Aug,-0.33
1913,Sep,-0.35
1913,Oct,-0.32
1913,Nov,-0.21
1913,Dec,-0.04
1914,Jan,0.03
1914,Feb,-0.11
1914,Mar,-0.25
1914,Apr,-0.3
1914,May,-0.22
1914,Jun,-0.26
1914,Jul,-0.25
1914,Aug,-0.17
1914,Sep,-0.18
1914,Oct,-0.04
1914,Nov,-0.17
1914,Dec,-0.05
1915,Jan,-0.22
1915,Feb,-0.05
1915,Mar,-0.1
1915,Apr,0.06
1915,May,-0.06
1915,Jun,-0.23
1915,Jul,-0.13
1915,Aug,-0.22
1915,Sep,-0.2
1915,Oct,-0.25
1915,Nov,-0.13
1915,Dec,-0.21
1916,Jan,-0.14
1916,Feb,-0.16
1916,Mar,-0.29
1916,Apr,-0.31
1916,May,-0.36
1916,Jun,-0.5
1916,Jul,-0.37
1916,Aug,-0.28
1916,Sep,-0.36
1916,Oct,-0.33
1916,Nov,-0.47
1916,Dec,-0.82
1917,Jan,-0.57
1917,Feb,-0.62
1917,Mar,-0.64
1917,Apr,-0.55
1917,May,-0.56
1917,Jun,-0.44
1917,Jul,-0.25
1917,Aug,-0.23
1917,Sep,-0.23
1917,Oct,-0.44
1917,Nov,-0.35
1917,Dec,-0.68
1918,Jan,-0.48
1918,Feb,-0.36
1918,Mar,-0.27
1918,Apr,-0.45
1918,May,-0.44
1918,Jun,-0.37
1918,Jul,-0.32
1918,Aug,-0.32
1918,Sep,-0.18
1918,Oct,-0.06
1918,Nov,-0.12
1918,Dec,-0.3
1919,Jan,-0.21
1919,Feb,-0.24
1919,Mar,-0.22
1919,Apr,-0.13
1919,May,-0.29
1919,Jun,-0.37
1919,Jul,-0.3
1919,Aug,-0.34
1919,Sep,-0.26
1919,Oct,-0.2
1919,Nov,-0.42
1919,Dec,-0.43
1920,Jan,-0.26
1920,Feb,-0.28
1920,Mar,-0.13
1920,Apr,-0.25
1920,May,-0.27
1920,Jun,-0.36
1920,Jul,-0.31
1920,Aug,-0.27
1920,Sep,-0.22
1920,Oct,-0.27
1920,Nov,-0.28
1920,Dec,-0.47
1921,Jan,-0.05
1921,Feb,-0.18
1921,Mar,-0.23
1921,Apr,-0.3
1921,May,-0.3
1921,Jun,-0.27
1921,Jul,-0.15
1921,Aug,-0.26
1921,Sep,-0.19
1921,Oct,-0.03
1921,Nov,-0.15
1921,Dec,-0.18
1922,Jan,-0.34
1922,Feb,-0.45
1922,Mar,-0.15
1922,Apr,-0.23
1922,May,-0.33
1922,Jun,-0.31
1922,Jul,-0.27
1922,Aug,-0.33
1922,Sep,-0.35
1922,Oct,-0.31
1922,Nov,-0.14
1922,Dec,-0.2
1923,Jan,-0.28
1923,Feb,-0.4
1923,Mar,-0.34
1923,Apr,-0.42
1923,May,-0.34
1923,Jun,-0.29
1923,Jul,-0.31
1923,Aug,-0.34
1923,Sep,-0.31
1923,Oct,-0.13
1923,Nov,-0.03
1923,Dec,-0.04
1924,Jan,-0.23
1924,Feb,-0.23
1924,Mar,-0.09
1924,Apr,-0.3
1924,May,-0.18
1924,Jun,-0.26
1924,Jul,-0.29
1924,Aug,-0.36
1924,Sep,-0.32
1924,Oct,-0.35
1924,Nov,-0.21
1924,Dec,-0.43
1925,Jan,-0.38
1925,Feb,-0.39
1925,Mar,-0.27
1925,Apr,-0.26
1925,May,-0.3
1925,Jun,-0.33
1925,Jul,-0.27
1925,Aug,-0.21
1925,Sep,-0.2
1925,Oct,-0.18
1925,Nov,0.05
1925,Dec,0.06
1926,Jan,0.21
1926,Feb,0.02
1926,Mar,0.11
1926,Apr,-0.13
1926,May,-0.23
1926,Jun,-0.26
1926,Jul,-0.27
1926,Aug,-0.13
1926,Sep,-0.14
1926,Oct,-0.11
1926,Nov,-0.07
1926,Dec,-0.3
1927,Jan,-0.27
1927,Feb,-0.18
1927,Mar,-0.39
1927,Apr,-0.31
1927,May,-0.26
1927,Jun,-0.28
1927,Jul,-0.19
1927,Aug,-0.24
1927,Sep,-0.13
1927,Oct,-0.01
1927,Nov,-0.06
1927,Dec,-0.33
1928,Jan,-0.03
1928,Feb,-0.09
1928,Mar,-0.25
1928,Apr,-0.29
1928,May,-0.3
1928,Jun,-0.39
1928,Jul,-0.19
1928,Aug,-0.22
1928,Sep,-0.21
1928,Oct,-0.19
1928,Nov,-0.1
1928,Dec,-0.16
1929,Jan,-0.45
1929,Feb,-0.58
1929,Mar,-0.33
1929,Apr,-0.41
1929,May,-0.38
1929,Jun,-0.43
1929,Jul,-0.37
1929,Aug,-0.32
1929,Sep,-0.25
1929,Oct,-0.15
1929,Nov,-0.12
1929,Dec,-0.55
1930,Jan,-0.31
1930,Feb,-0.27
1930,Mar,-0.11
1930,Apr,-0.25
1930,May,-0.24
1930,Jun,-0.22
1930,Jul,-0.21
1930,Aug,-0.15
1930,Sep,-0.15
1930,Oct,-0.11
1930,Nov,0.17
1930,Dec,-0.06
1931,Jan,-0.1
1931,Feb,-0.21
1931,Mar,-0.11
1931,Apr,-0.23
1931,May,-0.2
1931,Jun,-0.08
1931,Jul,-0.03
1931,Aug,-0.03
1931,Sep,-0.06
1931,Oct,0.06
1931,Nov,-0.06
1931,Dec,-0.05
1932,Jan,0.15
1932,Feb,-0.17
1932,Mar,-0.18
1932,Apr,-0.06
1932,May,-0.18
1932,Jun,-0.29
1932,Jul,-0.25
1932,Aug,-0.21
1932,Sep,-0.1
1932,Oct,-0.09
1932,Nov,-0.28
1932,Dec,-0.27
1933,Jan,-0.24
1933,Feb,-0.3
1933,Mar,-0.3
1933,Apr,-0.25
1933,May,-0.29
1933,Jun,-0.34
1933,Jul,-0.21
1933,Aug,-0.23
1933,Sep,-0.29
1933,Oct,-0.25
1933,Nov,-0.31
1933,Dec,-0.45
1934,Jan,-0.21
1934,Feb,-0.03
1934,Mar,-0.29
1934,Apr,-0.31
1934,May,-0.1
1934,Jun,-0.15
1934,Jul,-0.1
1934,Aug,-0.12
1934,Sep,-0.15
1934,Oct,-0.06
1934,Nov,0.03
1934,Dec,-0.03
1935,Jan,-0.34
1935,Feb,0.14
1935,Mar,-0.14
1935,Apr,-0.37
1935,May,-0.29
1935,Jun,-0.27
1935,Jul,-0.21
1935,Aug,-0.22
1935,Sep,-0.21
1935,Oct,-0.06
1935,Nov,-0.26
1935,Dec,-0.17
1936,Jan,-0.28
1936,Feb,-0.38
1936,Mar,-0.21
1936,Apr,-0.2
1936,May,-0.16
1936,Jun,-0.22
1936,Jul,-0.1
1936,Aug,-0.13
1936,Sep,-0.09
1936,Oct,-0.03
1936,Nov,0.01
1936,Dec,-0.01
1937,Jan,-0.07
1937,Feb,0.03
1937,Mar,-0.2
1937,Apr,-0.16
1937,May,-0.06
1937,Jun,-0.05
1937,Jul,-0.03
1937,Aug,0.01
1937,Sep,0.09
1937,Oct,0.08
1937,Nov,0.08
1937,Dec,-0.08
1938,Jan,0.08
1938,Feb,0.04
1938,Mar,0.1
1938,Apr,0.06
1938,May,-0.1
1938,Jun,-0.17
1938,Jul,-0.09
1938,Aug,-0.05
1938,Sep,0.01
1938,Oct,0.14
1938,Nov,0.07
1938,Dec,-0.13
1939,Jan,-0.05
1939,Feb,-0.06
1939,Mar,-0.18
1939,Apr,-0.1
1939,May,-0.04
1939,Jun,-0.07
1939,Jul,-0.05
1939,Aug,-0.06
1939,Sep,-0.07
1939,Oct,-0.04
1939,Nov,0.07
1939,Dec,0.42
1940,Jan,-0.01
1940,Feb,0.08
1940,Mar,0.09
1940,Apr,0.17
1940,May,0.1
1940,Jun,0.11
1940,Jul,0.12
1940,Aug,0.06
1940,Sep,0.15
1940,Oct,0.1
1940,Nov,0.16
1940,Dec,0.31
1941,Jan,0.17
1941,Feb,0.3
1941,Mar,0.09
1941,Apr,0.15
1941,May,0.16
1941,Jun,0.13
1941,Jul,0.21
1941,Aug,0.14
